Using device: cuda
epoch=1,d_loss=0.0701,g_loss=6.1876
epoch=2,d_loss=0.4765,g_loss=5.1969
epoch=3,d_loss=0.6141,g_loss=4.4117
epoch=4,d_loss=0.4633,g_loss=5.9078
epoch=5,d_loss=0.3212,g_loss=6.5699
epoch=6,d_loss=0.2608,g_loss=5.8943
epoch=7,d_loss=0.1521,g_loss=5.3975
epoch=8,d_loss=0.0727,g_loss=5.2662
epoch=9,d_loss=0.0343,g_loss=5.3779
epoch=10,d_loss=0.0277,g_loss=5.5632
epoch=11,d_loss=0.1073,g_loss=5.7503
epoch=12,d_loss=0.0205,g_loss=5.3484
epoch=13,d_loss=0.0086,g_loss=5.8644
epoch=14,d_loss=0.0857,g_loss=5.8462
epoch=15,d_loss=0.4754,g_loss=6.0161
epoch=16,d_loss=0.6117,g_loss=5.8857
epoch=17,d_loss=0.5238,g_loss=5.0494
epoch=18,d_loss=0.3784,g_loss=5.4355
epoch=19,d_loss=0.4083,g_loss=5.4601
epoch=20,d_loss=0.3496,g_loss=5.0362
epoch=21,d_loss=0.3021,g_loss=5.1026
epoch=22,d_loss=0.3158,g_loss=5.4937
epoch=23,d_loss=0.2387,g_loss=5.7370
epoch=24,d_loss=0.2266,g_loss=6.5595
epoch=25,d_loss=0.2128,g_loss=5.4290
epoch=26,d_loss=0.1994,g_loss=5.4908
epoch=27,d_loss=0.2216,g_loss=5.6552
epoch=28,d_loss=0.1903,g_loss=5.9992
epoch=29,d_loss=0.2559,g_loss=5.9536
epoch=30,d_loss=0.2074,g_loss=6.2069
epoch=31,d_loss=0.1314,g_loss=6.1388
epoch=32,d_loss=0.1477,g_loss=6.1125
epoch=33,d_loss=0.1698,g_loss=6.2149
epoch=34,d_loss=0.1344,g_loss=6.4978
epoch=35,d_loss=0.1182,g_loss=6.3129
epoch=36,d_loss=0.1511,g_loss=6.3020
epoch=37,d_loss=0.1924,g_loss=7.0746
epoch=38,d_loss=0.0937,g_loss=6.0668
epoch=39,d_loss=0.1349,g_loss=7.0662
epoch=40,d_loss=0.1624,g_loss=6.5743
epoch=41,d_loss=0.1396,g_loss=6.5885
epoch=42,d_loss=0.1703,g_loss=6.2441
epoch=43,d_loss=0.1572,g_loss=5.8630
epoch=44,d_loss=0.1338,g_loss=6.0731
epoch=45,d_loss=0.1443,g_loss=6.6644
epoch=46,d_loss=0.1224,g_loss=6.4377
epoch=47,d_loss=0.1490,g_loss=6.8305
epoch=48,d_loss=0.1950,g_loss=6.0098
epoch=49,d_loss=0.1305,g_loss=5.8709
epoch=50,d_loss=0.1204,g_loss=6.6286
Saved checkpoints to checkpoints/gan
